date,open,high,low,close,volume,turnover,code,name
7/6/2023,6615.06,6631.17,6602.62,6607.79,34428264,1352104083,TMTI,المواد الأساسية
6/6/2023,6587.46,6597.75,6555.83,6597.75,29230672,1164026471,TMTI,المواد الأساسية
5/6/2023,6579.84,6622.27,6572.6,6577.26,31245083,1163262245,TMTI,المواد الأساسية
4/6/2023,6471.5,6570.12,6470.68,6565.71,21677884,764831601,TMTI,المواد الأساسية
1/6/2023,6455.61,6470.03,6427.08,6427.08,24746211,923027146.8,TMTI,المواد الأساسية
31/05/2023,6522.09,6522.09,6435.65,6435.65,49184018,2420666329,TMTI,المواد الأساسية
30/05/2023,6578.74,6601.71,6532.96,6532.96,27213013,1011828685,TMTI,المواد الأساسية
29/05/2023,6563.49,6586.94,6556.41,6569.3,28874496,903039309.2,TMTI,المواد الأساسية
28/05/2023,6574.63,6590.73,6548.51,6553.75,25721853,856754776.9,TMTI,المواد الأساسية
25/05/2023,6565.83,6588.71,6541.66,6566.6,32536287,1035853565,TMTI,المواد الأساسية
24/05/2023,6595.42,6600.09,6532.08,6575.02,34937599,1188561885,TMTI,المواد الأساسية
23/05/2023,6601.86,6627.8,6592.63,6592.63,34508981,1143631786,TMTI,المواد الأساسية
22/05/2023,6606.37,6614.17,6577.12,6597.72,46898279,1485660469,TMTI,المواد الأساسية
21/05/2023,6661.18,6669.74,6626.27,6645.37,35806909,973768658.8,TMTI,المواد الأساسية
18/05/2023,6667.02,6693.85,6643.7,6660.48,39974842,1284560938,TMTI,المواد الأساسية
17/05/2023,6630.16,6667.38,6625.18,6657.25,39953117,1113458487,TMTI,المواد الأساسية
16/05/2023,6648.89,6681.34,6610.54,6635.61,41647037,1368179943,TMTI,المواد الأساسية
15/05/2023,6680.8,6693.36,6638.46,6638.46,31986428,1181781574,TMTI,المواد الأساسية
14/05/2023,6699.77,6712.26,6674.23,6674.23,22985060,918615577.4,TMTI,المواد الأساسية
11/5/2023,6658.43,6708.31,6652.73,6695.5,36107407,1267721669,TMTI,المواد الأساسية
10/5/2023,6604.26,6656.07,6594.34,6656.07,32039801,1087601559,TMTI,المواد الأساسية
9/5/2023,6595.54,6611.17,6564.78,6611.17,30916388,1009799800,TMTI,المواد الأساسية
8/5/2023,6606.06,6619.01,6580,6588.33,36417576,1084564129,TMTI,المواد الأساسية
7/5/2023,6542.71,6602.46,6539.63,6602.46,41086179,1167073529,TMTI,المواد الأساسية
4/5/2023,6444.09,6516.83,6431.32,6513.91,28692130,987748346.1,TMTI,المواد الأساسية
3/5/2023,6545.59,6547.54,6469.29,6481.02,31607747,967819787.6,TMTI,المواد الأساسية
2/5/2023,6632.97,6632.97,6562.82,6568.59,32308251,1032919162,TMTI,المواد الأساسية
1/5/2023,6684.48,6688.27,6614.86,6631.75,42716433,1218821194,TMTI,المواد الأساسية
30/04/2023,6679.13,6718.07,6672.1,6692.29,42069446,1182589163,TMTI,المواد الأساسية
27/04/2023,6711.58,6712.14,6642.54,6657.81,39077578,1055986895,TMTI,المواد الأساسية
26/04/2023,6699.39,6726.43,6673.87,6721.93,60992665,1339346839,TMTI,المواد الأساسية
25/04/2023,6657.48,6696.28,6633.29,6696.28,71058812,1607506629,TMTI,المواد الأساسية
17/04/2023,6631.89,6636.07,6602.87,6634.86,43126603,940011482,TMTI,المواد الأساسية
16/04/2023,6620.88,6660.03,6608.94,6629.9,23693628,922831519.3,TMTI,المواد الأساسية
13/04/2023,6536.51,6612.01,6525.1,6601.9,26647668,980185051.6,TMTI,المواد الأساسية
12/4/2023,6491.05,6530.85,6488.7,6530.85,22122059,963628728.8,TMTI,المواد الأساسية
11/4/2023,6533.11,6544.57,6480.44,6498.25,22145606,825680327,TMTI,المواد الأساسية
10/4/2023,6598.79,6601.37,6541.71,6550.09,23339614,852923994.9,TMTI,المواد الأساسية
9/4/2023,6560.05,6612.64,6559.57,6591.19,31650544,1007690647,TMTI,المواد الأساسية
6/4/2023,6595.12,6605.25,6553.81,6553.81,25020807,1067444581,TMTI,المواد الأساسية
5/4/2023,6652.89,6690.07,6577.03,6600.01,29040788,1157045609,TMTI,المواد الأساسية
4/4/2023,6537.55,6638.05,6537.37,6638.05,36931156,1434893467,TMTI,المواد الأساسية
3/4/2023,6489.66,6534.49,6489.64,6527.53,40241220,1350318776,TMTI,المواد الأساسية
2/4/2023,6401.31,6470.55,6393.96,6457.12,32601424,1153266457,TMTI,المواد الأساسية
30/03/2023,6349.35,6393.08,6346.12,6380.86,31761611,1373111959,TMTI,المواد الأساسية
29/03/2023,6335.22,6351.61,6307.02,6338.98,28659778,1044085954,TMTI,المواد الأساسية
28/03/2023,6295.92,6339.88,6295.86,6324.51,29146021,1055473082,TMTI,المواد الأساسية
27/03/2023,6282.22,6329.02,6276.02,6288.21,25674806,1265300256,TMTI,المواد الأساسية
26/03/2023,6315.35,6343.4,6309.5,6330.74,15636651,730288530.8,TMTI,المواد الأساسية
23/03/2023,6258.49,6306.04,6232.16,6306.04,14475889,670027712.7,TMTI,المواد الأساسية
